task_group,task_id,experiment,method_id,method_label,n_trials,mean_nll,sd_nll,sem_nll,source_file,note
RL_waltmann,rl_waltmann_centaur,all,centaur_full_context_simulation,Centaur full-context simulation,7840,0.18967894729302853,0.6528567614252694,0.007373265542660739,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,7840,0.17515193394252232,0.6034416236067587,0.0068151784483835316,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,
Wilson_horizon,wilson2014humans_all,exp1,centaur_full_context_simulation,Centaur full-context simulation,4480,0.30781642051342717,0.5585478243469937,0.008344904241762605,original/results/custom_metrics_full_log_likelihoods_marcelbinz-Llama-3.1-Centaur-70B-adapter.pth,
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,4480,0.5851766313825335,0.5328856680844453,0.00796150244998501,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,
Wilson_horizon,wilson2014humans_all,exp3,centaur_full_context_simulation,Centaur full-context simulation,3715,0.38998780434075014,0.5232129628503163,0.008584185347916088,original/results/custom_metrics_full_log_likelihoods_marcelbinz-Llama-3.1-Centaur-70B-adapter.pth,
Wilson_horizon,wilson2014humans_all,exp3,context_free_centaur,Context-free Centaur,3715,0.5977289664472577,0.5270638647590834,0.00864736584627648,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,
Wilson_horizon,wilson2014humans_all,exp4,centaur_full_context_simulation,Centaur full-context simulation,6160,0.47163842583057025,0.5410196844582458,0.006893229067415384,original/results/custom_metrics_full_log_likelihoods_marcelbinz-Llama-3.1-Centaur-70B-adapter.pth,
Wilson_horizon,wilson2014humans_all,exp4,context_free_centaur,Context-free Centaur,6160,0.630720500202922,0.4704072393139806,0.00599354320870743,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,
Wilson_horizon,wilson2014humans_all,exp5,centaur_full_context_simulation,Centaur full-context simulation,3360,0.5913715922156934,0.47234624336315756,0.008148746865741428,original/results/custom_metrics_full_log_likelihoods_marcelbinz-Llama-3.1-Centaur-70B-adapter.pth,
Wilson_horizon,wilson2014humans_all,exp5,context_free_centaur,Context-free Centaur,3360,0.6594281877790179,0.427657223435763,0.007377788027424949,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,
Wu_spatial,wu2018generalisation_exp1,exp1,centaur_full_context_simulation,Centaur full-context simulation,360,1.8318851508122558,1.4265769573308797,0.07518720737797367,original/results/custom_metrics_full_log_likelihoods_marcelbinz-Llama-3.1-Centaur-70B-adapter.pth,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,360,2.484635416666667,1.257047076177091,0.06625219811291323,context_free_eval/wu2018generalisation_exp1_context_free_results.json,
Multi-cue_judgement,collsioo2023MCPL_all,all,centaur_full_context_simulation,Centaur full-context simulation,6136,1.123601808315448,1.1255136922510691,0.01436838999120909,original/results/custom_metrics_full_log_likelihoods_marcelbinz-Llama-3.1-Centaur-70B-adapter.pth,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,6136,1.8901791824161462,0.8799622471361921,0.011233662310323184,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,
