task_group,task_id,experiment,method_id,method_label,trial_row_index,trial_index,participant,choice_index,ground_truth_choice,trial_nll,has_history,num_history_choices,dataset_label_in_json,source_type,source_file,source_prompt_file,prompt_participant,mapped_choice_index,mapped_choice
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,0,0,5,0,30,2.328125,False,0,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,1,1,5,1,20,2.59375,True,1,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,2,2,5,2,50,2.546875,True,2,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,3,3,5,3,20,2.625,True,3,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,4,4,5,4,70,2.71875,True,4,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,5,5,5,5,30,1.7421875,True,5,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,6,6,5,6,50,2.078125,True,6,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,7,7,5,7,50,2.328125,True,7,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,8,8,5,8,30,1.8984375,True,8,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,9,9,5,9,20,1.921875,True,9,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,10,10,5,10,80,2.90625,True,10,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,11,11,5,11,20,2.265625,True,11,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,12,12,5,12,40,2.046875,True,12,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,13,13,5,13,60,2.1875,True,13,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,14,14,5,14,50,1.7109375,True,14,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,15,15,5,15,50,1.78125,True,15,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,16,16,5,16,40,1.5625,True,16,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,17,17,5,17,60,2.09375,True,17,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
Multi-cue_judgement,collsioo2023MCPL_all,all,context_free_centaur,Context-free Centaur,18,18,5,18,70,2.140625,True,18,"Our Result
(context_free, sum)",json,context_free_eval/collsioo2023MCPL_all_results_contextfree_sum.json,,,,
