task_group,task_id,experiment,method_id,method_label,trial_row_index,trial_index,participant,choice_index,ground_truth_choice,trial_nll,has_history,num_history_choices,dataset_label_in_json,source_type,source_file,source_prompt_file,prompt_participant,mapped_choice_index,mapped_choice
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,0,0,102,0,O,0.4765625,False,0,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,1,1,102,1,O,0.474609375,True,1,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,2,2,102,2,O,0.38671875,True,2,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,3,3,102,3,O,0.201171875,True,3,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,4,4,102,4,O,0.10009765625,True,4,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,5,5,102,5,O,0.10009765625,True,5,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,6,6,102,6,O,0.06201171875,True,6,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,7,7,102,7,O,0.0380859375,True,7,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,8,8,102,8,O,0.048583984375,True,8,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,9,9,102,9,O,0.0380859375,True,9,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,10,10,102,10,O,0.10009765625,True,10,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,11,11,102,11,O,0.048583984375,True,11,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,12,12,102,12,O,0.02978515625,True,12,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,13,13,102,13,O,0.02978515625,True,13,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
RL_waltmann,rl_waltmann_centaur,all,context_free_centaur,Context-free Centaur,14,14,102,14,O,0.02978515625,True,14,"Our Result
(both, avg)",json,context_free_eval/rl_waltmann_centaur_results_contextfree_avg.json,,,,
