task_group,task_id,experiment,method_id,method_label,trial_row_index,trial_index,participant,choice_index,ground_truth_choice,trial_nll,has_history,num_history_choices,dataset_label_in_json,source_type,source_file,source_prompt_file,prompt_participant,mapped_choice_index,mapped_choice
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,0,0,9,0,K,0.90234375,False,0,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,0,K
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,1,1,9,1,J,0.828125,True,1,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,1,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,2,2,9,2,J,1.140625,True,2,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,2,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,3,3,9,3,J,0.97265625,True,3,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,3,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,4,4,9,4,J,0.57421875,True,4,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,4,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,5,5,9,5,J,0.38671875,True,5,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,5,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,6,6,9,6,J,0.3125,True,6,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,6,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,7,7,9,7,K,1.703125,True,7,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,7,K
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,8,8,9,8,J,0.97265625,True,8,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,8,J
Wilson_horizon,wilson2014humans_all,exp1,context_free_centaur,Context-free Centaur,9,9,9,9,J,0.474609375,True,9,"Our Result
(context_free, avg)",json,context_free_eval/wilson2014humans_all_results_contextfree_avg.json,datasets/main_test_tasks/wilson2014humans_exp1.jsonl,9,9,J
