task_group,task_id,experiment,method_id,method_label,trial_row_index,trial_index,participant,choice_index,ground_truth_choice,trial_nll,has_history,num_history_choices,dataset_label_in_json,source_type,source_file,source_prompt_file,prompt_participant,mapped_choice_index,mapped_choice
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,0,0,47,0,20,3.296875,False,0,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,1,1,47,1,22,3.265625,True,1,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,2,2,47,2,23,1.9765625,True,2,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,3,3,47,3,24,0.87890625,True,3,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,4,4,47,4,25,0.41796875,True,4,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,5,5,47,5,28,4.59375,True,5,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,6,6,47,6,7,5.46875,True,6,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,7,7,47,7,10,2.984375,True,7,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,8,8,47,8,3,3.296875,True,8,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,9,9,47,9,6,3.1875,True,9,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,10,10,47,10,12,3.28125,True,10,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,11,11,47,11,10,3.15625,True,11,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
Wu_spatial,wu2018generalisation_exp1,exp1,context_free_centaur,Context-free Centaur,12,12,47,12,9,1.921875,True,12,History-Only,json,context_free_eval/wu2018generalisation_exp1_context_free_results.json,,,,
