dataset,evaluation_type,nll_count,nll_mean,nll_std,nll_min,nll_max,nll_median
collsioo2023MCPL_all,baseline,6136,1.9157,0.9492,0.9658,11.2221,1.5206
collsioo2023MCPL_all,context_free,5336,1.5421,0.7959,0.1035,8.75,1.4844
collsioo2023MCPL_all,original_centaur,6136,1.1236,1.1255,0.0004,8.986,0.9128
collsioo2023MCPL_all,random_baseline,6136,2.1973,0.0022,2.1886,2.2051,2.1972
hebart2023things,baseline,265640,0.8253,0.6831,0.0013,6.207,0.6597
hebart2023things,context_free,265640,1.1203,0.2206,0.0374,3.7969,1.1016
hebart2023things,original_centaur,242647,0.8068,0.697,0.0003,6.503,0.6383
hebart2023things,random_baseline,265640,1.0986,0.0011,1.0938,1.1038,1.0986
hebart2023things,zero_shot,265640,0.9027,0.9351,0.0023,7.125,0.5391
hilbig2014generalized,baseline,576,0.1922,0.3526,0.0339,1.4651,0.0412
hilbig2014generalized,context_free,576,0.7367,0.315,0.1001,2.3438,0.6914
hilbig2014generalized,original_centaur,576,0.0619,0.3674,0.0002,6.0025,0.0041
hilbig2014generalized,random_baseline,576,0.6932,0.0007,0.6911,0.6952,0.6932
hilbig2014generalized,zero_shot,576,0.2774,0.2853,0.0233,1.5,0.2012
ruggeri2022globalizability,baseline,15421,0.6591,0.2545,0.4263,1.0582,0.452
ruggeri2022globalizability,context_free,15421,0.6562,0.4285,0.0233,3.7656,0.5781
ruggeri2022globalizability,original_centaur,15421,0.434,0.4807,0.0,3.7733,0.2812
ruggeri2022globalizability,random_baseline,15421,0.6931,0.0007,0.6904,0.6957,0.6931
ruggeri2022globalizability,zero_shot,15421,0.6673,0.3288,0.252,1.5,0.4746
wu2018generalisation_exp1,baseline,408,2.7635,1.3355,0.1959,9.2995,3.2831
wu2018generalisation_exp1,context_free,360,2.4846,1.257,0.2305,5.8125,2.5
wu2018generalisation_exp1,original_centaur,360,1.8319,1.4266,0.0142,5.7703,1.6529
wu2018generalisation_exp1,random_baseline,408,3.4015,0.0034,3.3924,3.413,3.4016
